type,id,lat,lon,tags/amenity,tags/name,tags/name:en,tags/dispensing,tags/drive_through,tags/healthcare,tags/opening_hours,tags/int_name,tags/name:mk,tags/addr:housenumber,tags/addr:street,tags/addr:city,tags/addr:postcode,tags/addr:city:en,tags/addr:country,tags/addr:street:en,tags/email,tags/operator,tags/phone,tags/website,tags/wheelchair,tags/brand,tags/name:sq,tags/fixme,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,tags/building,nodes/5,nodes/6,nodes/7,nodes/8,nodes/9,nodes/10,tags/shop
node,367675829,42.0061233,21.3816633,pharmacy,Ремедиум,Remedium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,370651330,41.991882,21.4273351,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,444938811,41.9984708,21.4226797,pharmacy,Зегин,Zegin,yes,no,pharmacy,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,444994545,42.0023086,21.4626489,pharmacy,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,444994811,42.002633,21.464621,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,459669736,41.9950445,21.4332098,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,459673288,41.9932326,21.4154083,pharmacy,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,498850840,41.9972254,21.4373274,pharmacy,Зегин,Zegin,,,,,Zegin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1382090803,41.9835895,21.4295599,pharmacy,Apteka Biofit,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1382090805,41.9940569,21.4008928,pharmacy,Apteka Biofit,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1577486961,42.0023156,21.3761084,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1615832328,42.0032564,21.3978776,pharmacy,Zegin,Zegin,,,,,,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1615847558,42.0034289,21.3985661,pharmacy,Херба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1652699470,41.9919776,21.4219509,pharmacy,Уни Медикал,,,,,,,,9,Бел камен,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1747986303,41.9869002,21.4308199,pharmacy,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1748378521,41.9988465,21.4198668,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1855982570,42.0161642,21.4403511,pharmacy,Еурофарм,,,,,,,,,Ќемал Сејфула,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2294320035,41.9960357,21.4078311,pharmacy,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2362912161,42.0026568,21.4053418,pharmacy,Аптека Ремедиум Лек,,,,,Mo-Fr 07:30-21:00; Su off; Sa 08:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2578824879,41.9811356,21.4324038,pharmacy,Аптека Виола,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2601311980,42.0032478,21.4078707,pharmacy,Betty,,,no,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3099334941,41.9910923,21.4460324,pharmacy,Zegin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3104012020,41.9943079,21.4311375,pharmacy,Eуpoфapм,Eurofarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3606658843,42.0050186,21.3834081,pharmacy,Зегин (Карпош 4),,yes,no,pharmacy,,,,,Булевар Партизански Одреди,Скопје,1000,,,,,,,,,,,,,,,,,,,,,,,,
node,3634182103,42.0009171,21.3902099,pharmacy,ЕуроФарм Тафталиџе,Eurofarm Taftalidze,,,,Mo-Sa 08:00-22:00; Su 08:00-14:00,,,бб,Лондонска,Cкoпje,1000,Skopje,MK,Londonska,taftalidze@eurofarm.com.mk,ЕУРО-ФАРМ,+389 2 3079378,http://www.eurofarm.com.mk,yes,,,,,,,,,,,,,,,,
node,3816919343,42.0256469,21.376799,pharmacy,Eurofarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3830375935,41.9820014,21.4735236,pharmacy,ZEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3830410317,41.9823463,21.4738911,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3832362529,41.9899658,21.419838,pharmacy,Виола,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3832368052,41.9898127,21.4196296,pharmacy,Betty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4266034098,41.9850045,21.4377527,pharmacy,Зегин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4375519189,41.9928765,21.4341995,pharmacy,Зегин ( стара градска болница),Zegin,,,,24/7,,Зегин ( стара градска болница),,Филип Втори Македонски,,1000,,,,,,,,,,,,,,,,,,,,,,,,
node,4614661190,41.9969243,21.408508,pharmacy,Опоум,Opium,,,,,,Опоум,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4846704246,41.9958705,21.4276434,pharmacy,Виола,Viola,yes,no,pharmacy,Mo-Fr 07:30-22:00; Sa 08:00-22:00; Su 09:00-17:00,,,,,,,,,,,,+389 2 3125 155,https://viola.mk/,,,,,,,,,,,,,,,,,
node,4846704247,41.9954508,21.4273767,pharmacy,Зегин,Zegin,,no,pharmacy,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 08:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4938094324,41.9916808,21.4376415,pharmacy,,,,,,,,,,Булевар Кочо Рацин,,,,,,,,,,,Life,,,,,,,,,,,,,,,
node,4990134422,42.0024902,21.4394269,pharmacy,Зегин,,,,,,,Зегин,,Булевар Крсте Мисирков,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5333318379,42.0028618,21.4010137,pharmacy,Eurofarm,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5344777689,42.0072007,21.368163,pharmacy,Зегин,Zegin,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5344777690,42.0073336,21.3682252,pharmacy,Betty,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5859109291,42.0094177,21.4346717,pharmacy,,,,,,,,,,Свети Прохор Пчински,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054020289,41.9950329,21.4250953,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054032909,41.9890157,21.436267,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054035529,41.9874105,21.4328978,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054035531,41.9938132,21.426907,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054048689,41.9985752,21.4154009,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054048697,42.0037486,21.4155218,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054048719,41.9970967,21.428404,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054048888,41.9964634,21.4403185,pharmacy,Аптека,,,,,,,,,Булевар Крсте Мисирков,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054049800,42.0002111,21.4132362,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054050088,41.9995676,21.4266118,pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
